---
start_time: 1768940947
---
timestamp_ms,button,state
39625,l,1
40052,r,1
40099,l,0
40257,d,1
40304,r,0
40477,u,1
40682,d,0
40982,l,1
41202,u,0
41453,r,1
41485,l,0
41595,d,1
41674,u,1
41675,d,0
41736,r,0
41924,d,1
42161,u,0
42569,l,1
42632,d,0
42883,r,1
43043,l,0
43359,l,1
43533,r,0
43802,u,1
43897,l,0
44100,d,1
44163,u,0
44352,u,1
44462,d,0
44747,l,1
45045,l,0
45251,l,1
45519,l,0
45754,l,1
45973,l,0
46194,l,1
46288,u,0
46494,d,1
46511,l,0
46685,u,1
46732,d,0
46936,r,1
47015,u,0
47109,r,0
47172,l,1
47203,r,1
47423,l,0
47675,l,1
47816,r,0
48147,r,1
48304,l,0
48634,d,1
48745,r,0
49029,u,1
49092,d,0
49327,u,0
49343,l,1
49547,r,1
50793,r,0
50873,l,0
50968,l,1
51015,d,1
51174,l,0
51473,l,1
51599,d,0
51977,u,1
52120,l,0
52439,d,1
52593,u,0
52845,r,1
52876,d,0
53126,u,1
53189,r,0
53394,d,1
53552,u,0
53695,d,0
53788,d,1
53852,l,1
54025,d,0
54182,l,0
54323,r,1
54324,d,1
54497,d,0
54638,r,0
54778,r,1
54795,l,1
55017,l,0
55317,l,1
55474,r,0
55821,r,1
55946,l,0
56246,d,1
56389,r,0
56704,u,1
56799,d,0
56973,d,1
57004,u,0
57210,r,1
57493,d,0
57902,u,1
57981,r,0
58153,d,1
58169,u,0
58359,l,1
58500,d,0
58847,r,1
58893,l,0
59098,d,1
59318,r,0
59618,u,1
59793,d,0
60061,l,1
60123,u,0
60312,r,1
60502,l,0
60738,l,1
60832,r,0
61021,r,1
61084,l,0
61242,l,1
61320,r,0
61509,u,1
61682,l,0
61747,u,0
61889,u,1
61889,d,1
62142,d,0
62222,u,0
62410,l,1
62411,r,1
62631,l,0
62867,l,1
63057,r,0
63357,d,1
63547,l,0
63831,u,1
64018,d,0
64302,r,1
64365,u,0
64569,l,1
64648,r,0
64820,u,1
66147,l,0
66163,u,0
66225,l,1
66244,u,1
66447,l,0
66712,l,1
66886,u,0
67183,u,1
67342,l,0
67642,d,1
67799,u,0
68115,r,1
68178,d,0
68384,u,1
68447,r,0
68638,d,1
68779,u,0
68889,d,0
68984,d,1
69048,l,1
69236,d,0
69409,l,0
69488,r,1
69536,u,1
69598,d,1
69693,d,0
69772,r,0
69852,u,0
69883,u,1
69993,r,1
70040,u,0
70325,d,1
70372,r,0
70544,u,1
70732,d,0
71000,l,1
71079,u,0
71283,l,0
71299,d,1
71455,u,1
71550,d,0
71863,r,1
71973,u,0
72242,l,1
72304,r,0
72478,d,1
