---
start_time: 1769027839
---
timestamp_ms,button,state
37795,u,1
53931,u,0
56610,u,1
58281,u,0
63772,l,1
64497,r,1
64592,l,0
64798,u,1
64987,r,0
65192,d,1
65350,u,0
65665,l,1
65743,d,0
65916,r,1
65979,l,0
66138,d,1
66626,r,0
66956,u,1
67019,d,0
67162,l,1
67226,u,0
67414,l,0
67525,r,1
67557,l,1
68287,l,0
68504,l,1
68692,r,0
69024,r,1
69086,l,0
69134,d,1
69230,u,1
69261,d,0
69310,r,0
69466,d,1
70581,d,0
70692,d,1
70740,u,0
70944,l,1
71242,d,0
71337,l,0
71400,l,1
71446,u,1
72093,u,0
72315,u,1
72581,l,0
72848,d,1
73038,u,0
73306,r,1
73322,d,0
73512,u,1
73606,r,0
73764,d,1
74312,u,0
74517,u,1
74578,d,0
74751,r,1
74925,u,0
75051,r,0
75163,l,1
75163,r,1
75904,l,0
76123,l,1
76251,r,0
76456,l,0
76536,r,1
76645,d,1
76725,d,0
76740,d,1
76896,r,0
77022,d,0
77133,d,1
77149,u,1
78654,u,0
79001,r,1
79110,d,0
79517,l,1
79642,r,0
79957,r,1
80650,l,0
80885,l,1
81184,r,0
81402,d,1
81749,l,0
81906,l,1
82646,d,0
82883,u,1
83086,l,0
83325,d,1
83542,u,0
83763,u,1
84506,d,0
84743,l,1
84883,u,0
85218,r,1
85469,l,0
85658,l,1
86416,r,0
86637,d,1
86872,l,0
87156,u,1
87346,d,0
87645,r,1
88306,u,0
88574,d,1
88747,r,0
88967,u,1
89233,d,0
89469,l,1
90194,u,0
90446,r,1
90649,l,0
90903,l,1
91201,r,0
91407,d,1
92149,l,0
92338,u,1
92576,d,0
92812,r,1
93002,u,0
93252,l,1
93981,r,0
94216,r,1
94987,l,0
95176,l,1
95288,r,0
95429,r,1
95461,l,0
95619,d,1
95901,r,0
96011,d,0
96090,d,1
96106,u,1
97406,u,0
97610,r,1
97785,d,0
98023,l,1
98746,r,0
99000,d,1
99206,l,0
99458,u,1
99664,d,0
99932,u,0
99964,r,1
100169,l,1
100263,r,0
100406,u,1
101120,l,0
101341,d,1
101421,u,0
101610,r,1
101625,d,0
101844,l,1
102761,r,0
103059,l,0
103059,r,1
103106,d,1
103201,u,1
103376,d,0
103453,r,0
103705,d,1
103768,u,0
103925,u,1
104005,d,0
104208,r,1
104887,u,0
105139,l,1
105203,r,0
105359,u,1
105406,l,0
105611,d,1
106322,u,0
106603,r,1
106732,d,0
106874,l,1
106906,r,0
107093,r,1
107236,l,0
107376,r,0
107471,l,1
107581,r,1
108862,l,0
109067,l,1
109222,r,0
109443,u,1
110121,l,0
110389,d,1
110483,u,0
110687,r,1
110688,d,0
110876,l,1
111128,r,0
111207,l,0
111300,l,1
111348,d,1
112515,d,0
112752,d,1
113098,l,0
113271,u,1
114022,d,0
114288,r,1
114445,u,0
114698,l,1
114934,r,0
115183,u,1
115262,l,0
115437,u,0
115469,d,1
115628,r,1
116163,d,0
116445,l,1
116523,r,0
116665,d,1
116962,d,0
116978,l,0
117088,l,1
117088,d,1
118144,l,0
118285,l,1
118364,d,0
118552,r,1
118774,l,0
118993,d,1
119057,r,0
119214,u,1
119231,d,0
119405,l,1
120221,u,0
120491,r,1
120650,l,0
120759,r,0
120901,r,1
120902,u,1
121616,r,0
121873,r,1
122072,u,0
122275,u,1
122400,r,0
122607,d,1
122827,u,0
123096,l,1
123980,d,0
124232,r,1
124310,l,0
124450,d,1
124497,r,0
124701,r,1
124907,d,0
125160,l,1
125271,r,0
125444,d,1
125507,l,0
125664,l,1
125853,d,0
126185,r,1
126264,d,1
126280,l,0
126422,u,1
